DATE,CSUSHPISA,Year,Month,Per_Capita_GDP,working_age_pop,CPI,UNRATE,EmpRate,Cons_Material,FEDFUNDS,Num_Households,median_income,Subsidy
1987-01-01,63.963,1987,1,37132.0,153837100,111.4,6.6,70.15437,107.6,6.43,89479.0,63060,11.506
1987-02-01,64.423,1987,2,37239.333333333336,154050900,111.8,6.6,70.28407,107.9,6.1,89479.0,63060,11.506
1987-03-01,64.734,1987,3,37346.666666666664,154193700,112.2,6.6,70.31629000000001,108.1,6.13,89479.0,63060,11.506
1987-04-01,65.13,1987,4,37454.0,154340400,112.7,6.3,70.51045,108.3,6.37,89479.0,63060,11.506
1987-05-01,65.564,1987,5,37531.0,154526700,113.0,6.3,70.81375,108.3,6.85,89479.0,63060,11.506
1987-06-01,66.071,1987,6,37608.0,154668400,113.5,6.2,70.59522,108.6,6.73,89479.0,63060,11.506
1987-07-01,66.508,1987,7,37685.0,154727600,113.8,6.1,70.79756,109.2,6.58,89479.0,63060,11.506
1987-08-01,66.938,1987,8,37869.333333333336,154801300,114.3,6.0,70.9989,109.7,6.73,89479.0,63060,11.506
1987-09-01,67.331,1987,9,38053.666666666664,154922300,114.7,5.9,70.91305,110.5,7.22,89479.0,63060,11.506
1987-10-01,67.738,1987,10,38238.0,155026400,115.0,6.0,71.10611999999999,111.5,7.29,89479.0,63060,11.506
1987-11-01,68.104,1987,11,38278.333333333336,155188600,115.4,5.8,71.16338,112.2,6.69,89479.0,63060,11.506
1987-12-01,68.50399999999999,1987,12,38318.666666666664,155262100,115.6,5.7,71.29117,112.6,6.77,89479.0,63060,11.506
1988-01-01,68.857,1988,1,38359.0,155387300,116.0,5.7,71.31992,113.9,6.83,91124.0,63530,12.743
1988-02-01,69.26100000000001,1988,2,38500.0,155509100,116.2,5.7,71.37566,114.0,6.58,91124.0,63530,12.743
1988-03-01,69.63600000000001,1988,3,38641.0,155610500,116.5,5.7,71.28356,114.2,6.58,91124.0,63530,12.743
1988-04-01,69.97399999999999,1988,4,38782.0,155653600,117.2,5.4,71.51987,114.9,6.87,91124.0,63530,12.743
1988-05-01,70.425,1988,5,38824.0,155820600,117.5,5.6,71.33445999999999,115.2,7.09,91124.0,63530,12.743
1988-06-01,70.888,1988,6,38866.0,155988000,118.0,5.4,71.58781,115.3,7.51,91124.0,63530,12.743
1988-07-01,71.35300000000001,1988,7,38908.0,156058700,118.5,5.4,71.67636999999999,115.9,7.75,91124.0,63530,12.743
1988-08-01,71.79899999999999,1988,8,39048.0,156122800,119.0,5.6,71.79438,116.1,8.01,91124.0,63530,12.743
1988-09-01,72.24,1988,9,39188.0,156292900,119.5,5.4,71.81482,116.3,8.19,91124.0,63530,12.743
1988-10-01,72.635,1988,10,39328.0,156404800,119.9,5.4,71.94457,117.1,8.3,91124.0,63530,12.743
1988-11-01,73.071,1988,11,39434.666666666664,156514200,120.3,5.3,72.04391,117.4,8.35,91124.0,63530,12.743
1988-12-01,73.464,1988,12,39541.333333333336,156622700,120.7,5.3,72.1198,117.6,8.76,91124.0,63530,12.743
1989-01-01,73.946,1989,1,39648.0,156755700,121.2,5.4,72.28028,118.3,9.12,92830.0,64610,14.215
1989-02-01,74.382,1989,2,39719.0,156819300,121.6,5.2,72.29635,118.6,9.36,92830.0,64610,14.215
1989-03-01,74.778,1989,3,39790.0,156868400,122.2,5.0,72.41686,118.9,9.85,92830.0,64610,14.215
1989-04-01,75.084,1989,4,39861.0,156919500,123.1,5.2,72.34319,119.3,9.84,92830.0,64610,14.215
1989-05-01,75.305,1989,5,39922.666666666664,156990800,123.7,5.2,72.39108,119.6,9.81,92830.0,64610,14.215
1989-06-01,75.47800000000001,1989,6,39984.333333333336,157011800,124.1,5.3,72.57066,119.6,9.53,92830.0,64610,14.215
1989-07-01,75.655,1989,7,40046.0,157102500,124.5,5.2,72.58989,119.8,9.24,92830.0,64610,14.215
1989-08-01,75.833,1989,8,40035.666666666664,157281600,124.5,5.2,72.70388,119.5,8.99,92830.0,64610,14.215
1989-09-01,76.055,1989,9,40025.333333333336,157625500,124.8,5.3,72.49861999999999,119.9,9.02,92830.0,64610,14.215
1989-10-01,76.282,1989,10,40015.0,157660100,125.4,5.3,72.58743,120.6,8.84,92830.0,64610,14.215
1989-11-01,76.521,1989,11,40130.333333333336,157795700,125.9,5.4,72.74347,120.2,8.55,92830.0,64610,14.215
1989-12-01,76.705,1989,12,40245.666666666664,157908100,126.3,5.4,72.58913000000001,119.4,8.45,92830.0,64610,14.215
1990-01-01,76.89699999999999,1990,1,40361.0,159276100,127.5,5.4,72.48056,119.1,8.23,93347.0,63830,15.487
1990-02-01,77.053,1990,2,40368.0,159387900,128.0,5.3,72.44937,119.0,8.24,93347.0,63830,15.487
1990-03-01,77.20100000000001,1990,3,40375.0,159462100,128.6,5.2,72.48415,119.6,8.28,93347.0,63830,15.487
1990-04-01,77.278,1990,4,40382.0,159560500,128.9,5.4,72.32645,120.1,8.26,93347.0,63830,15.487
1990-05-01,77.298,1990,5,40343.333333333336,159617800,129.1,5.4,72.49434000000001,120.1,8.18,93347.0,63830,15.487
1990-06-01,77.259,1990,6,40304.666666666664,159721500,129.9,5.2,72.41694,119.5,8.29,93347.0,63830,15.487
